Id,Author_amount,Domestic_org_amount,International_org_amount,Ref_amount,Date_sort,Subject_area_code,Cited,Subject_area_name,Subject_area_abbrev
201801792,3,3,0,28,2018-03-01,2305,7,Environmental Engineering,ENVI
201801793,4,4,0,25,2018-03-01,3003,1,Pharmaceutical Science,PHAR
201801793,4,4,0,25,2018-03-01,2736,1,Pharmacology (medical),MEDI
201801794,12,2,1,33,2018-03-01,2808,0,Neurology,NEUR
201801794,12,2,1,33,2018-03-01,2728,0,Neurology (clinical),MEDI
201801795,2,1,0,29,2018-03-01,3400,2,Veterinary (all),VETE
201801796,1,1,0,2,2018-03-01,3400,0,Veterinary (all),VETE
201801797,4,2,0,12,2018-03-01,3400,1,Veterinary (all),VETE
201801798,5,3,0,30,2018-03-01,2105,28,"Renewable Energy, Sustainability and the Environment",ENER
201801799,7,3,1,24,2018-03-01,3400,4,Veterinary (all),VETE
201801800,10,2,1,27,2018-03-01,3400,0,Veterinary (all),VETE
201801801,2,1,0,33,2018-03-01,3400,1,Veterinary (all),VETE
201801802,4,1,0,0,2018-03-01,3400,0,Veterinary (all),VETE
201801803,4,2,0,26,2018-03-01,3400,5,Veterinary (all),VETE
201801804,1,1,0,4,2018-03-01,3400,0,Veterinary (all),VETE
201801805,2,1,0,15,2018-03-01,2207,1,Control and Systems Engineering,ENGI
201801805,2,1,0,15,2018-03-01,2205,1,Civil and Structural Engineering,ENGI
201801805,2,1,0,15,2018-03-01,2215,1,Building and Construction,ENGI
201801805,2,1,0,15,2018-03-01,1705,1,Computer Networks and Communications,COMP
201801806,9,2,3,30,2018-03-01,1303,25,Biochemistry,BIOC
201801806,9,2,3,30,2018-03-01,1312,25,Molecular Biology,BIOC
201801806,9,2,3,30,2018-03-01,1311,25,Genetics,BIOC
201801806,9,2,3,30,2018-03-01,1306,25,Cancer Research,BIOC
201801807,4,3,4,121,2018-03-01,2201,9,Engineering (miscellaneous),ENGI
201801807,4,3,4,121,2018-03-01,3101,9,Physics and Astronomy (miscellaneous),PHYS
201801808,2228,1,176,56,2018-03-01,2201,15,Engineering (miscellaneous),ENGI
201801808,2228,1,176,56,2018-03-01,3101,15,Physics and Astronomy (miscellaneous),PHYS
201801809,3,1,2,12,2018-03-01,2300,9,Environmental Science (all),ENVI
201801809,3,1,2,12,2018-03-01,1900,9,Earth and Planetary Sciences (all),EART
201801810,2239,1,241,77,2018-03-01,3106,35,Nuclear and High Energy Physics,PHYS
201801811,11,2,3,60,2018-03-01,3003,20,Pharmaceutical Science,PHAR
201801812,5,1,3,30,2018-03-01,1103,2,Animal Science and Zoology,AGRI
201801812,5,1,3,30,2018-03-01,3400,2,Veterinary (all),VETE
201801813,3,1,0,65,2018-03-01,1103,10,Animal Science and Zoology,AGRI
201801813,3,1,0,65,2018-03-01,3400,10,Veterinary (all),VETE
201801814,2279,1,239,63,2018-03-01,3106,12,Nuclear and High Energy Physics,PHYS
201801815,2,1,1,50,2018-03-01,2900,57,Nursing (all),NURS
201801816,3,1,0,27,2018-03-01,1502,10,Bioengineering,CENG
201801816,3,1,0,27,2018-03-01,2204,10,Biomedical Engineering,ENGI
201801816,3,1,0,27,2018-03-01,2500,10,Materials Science (all),MATE
201801816,3,1,0,27,2018-03-01,3104,10,Condensed Matter Physics,PHYS
201801817,5,1,4,5,2018-03-01,2808,25,Neurology,NEUR
201801817,5,1,4,5,2018-03-01,2728,25,Neurology (clinical),MEDI
201801818,14,1,11,101,2018-03-01,2715,123,Gastroenterology,MEDI
201801819,3,1,0,55,2018-03-01,2405,17,Parasitology,IMMU
201801819,3,1,0,55,2018-03-01,2404,17,Microbiology,IMMU
201801819,3,1,0,55,2018-03-01,1109,17,Insect Science,AGRI
201801819,3,1,0,55,2018-03-01,2725,17,Infectious Diseases,MEDI
201801820,13,1,5,47,2018-03-01,2727,42,Nephrology,MEDI
201801821,8,3,1,15,2018-03-01,2708,9,Dermatology,MEDI
201801822,9,5,0,31,2018-03-01,1502,25,Bioengineering,CENG
201801822,9,5,0,31,2018-03-01,1303,25,Biochemistry,BIOC
