,paperID,Cited
0,201800000,1
1,201800001,1
2,201800002,22
3,201800003,57
4,201800004,82
5,201800005,16
6,201800006,15
7,201800007,0
8,201800008,42
9,201800009,4
10,201800010,21
11,201800011,6
12,201800012,0
13,201800013,25
14,201800014,3
15,201800015,6
16,201800016,15
17,201800017,125
18,201800018,36
19,201800019,0
20,201800020,1
21,201800021,4
22,201800022,7
23,201800023,0
24,201800024,1
25,201800025,3
26,201800026,2
27,201800027,0
28,201800028,3
29,201800029,0
30,201800030,0
31,201800031,1
32,201800032,29
33,201800033,10
34,201800034,4
35,201800035,6
36,201800036,1
37,201800037,24
38,201800038,4
39,201800039,4
40,201800040,48
41,201800041,21
42,201800042,45
43,201800043,63
44,201800044,87
45,201800045,52
46,201800046,1
47,201800047,12
48,201800048,0
49,201800049,32
50,201800050,11
51,201800051,10
52,201800052,8
53,201800053,5
54,201800054,3
55,201800055,21
56,201800056,8
57,201800057,3
58,201800058,74
59,201800059,18
60,201800060,9
61,201800061,7
62,201800062,0
63,201800063,3
64,201800064,10
65,201800065,7
66,201800066,4
67,201800067,1
68,201800068,2
69,201800069,2
70,201800070,35
71,201800071,49
72,201800072,0
73,201800073,0
74,201800074,0
75,201800075,0
76,201800076,1
77,201800077,1
78,201800078,1
79,201800079,1
80,201800080,3
81,201800081,8
82,201800082,2
83,201800083,2
84,201800084,2
85,201800085,2
86,201800086,0
87,201800087,3
88,201800088,27
89,201800089,0
90,201800090,3
91,201800091,8
92,201800092,15
93,201800093,2
94,201800094,4
95,201800095,7
96,201800096,2
97,201800097,5
98,201800098,10
99,201800099,3
100,201800100,0
101,201800101,2
102,201800102,2
103,201800103,13
104,201800104,8
105,201800105,1
106,201800106,3
107,201800107,4
108,201800108,0
109,201800109,2
110,201800110,39
111,201800111,45
112,201800112,6
113,201800113,9
114,201800114,13
115,201800115,1
116,201800116,7
117,201800117,68
118,201800118,25
119,201800119,18
120,201800120,32
121,201800121,2
122,201800122,22
123,201800123,8
124,201800124,7
125,201800125,17
126,201800126,5
127,201800127,168
128,201800128,25
129,201800129,11
130,201800130,155
131,201800131,17
132,201800132,11
133,201800133,72
134,201800134,2
135,201800135,2
136,201800136,14
137,201800137,5
138,201800138,11
139,201800139,5
140,201800140,8
141,201800141,23
142,201800142,29
143,201800143,6
144,201800144,22
145,201800145,2
146,201800146,1
147,201800147,5
148,201800148,3
149,201800149,4
150,201800150,17
151,201800151,15
152,201800152,25
153,201800153,48
154,201800154,8
155,201800155,9
156,201800156,3
157,201800157,9
158,201800158,24
159,201800159,7
160,201800160,9
161,201800161,18
162,201800162,12
163,201800163,14
164,201800164,6
165,201800165,39
166,201800166,25
167,201800167,82
168,201800168,22
169,201800169,89
170,201800170,28
171,201800171,28
172,201800172,37
173,201800173,21
174,201800174,11
175,201800175,12
176,201800176,15
177,201800177,3
178,201800178,19
179,201800179,6
180,201800180,11
181,201800181,56
182,201800182,3
183,201800183,11
184,201800184,1
185,201800185,24
186,201800186,55
187,201800187,6
188,201800188,4
189,201800189,9
190,201800190,23
191,201800191,12
192,201800192,87
193,201800193,17
194,201800194,12
195,201800195,4
196,201800196,6
197,201800197,30
198,201800198,30
199,201800199,3
200,201800200,5
201,201800201,7
202,201800202,62
203,201800203,8
204,201800204,19
205,201800205,11
206,201800206,11
207,201800207,17
208,201800208,32
209,201800209,32
210,201800210,140
211,201800211,80
212,201800212,56
213,201800213,85
214,201800214,14
215,201800215,25
216,201800216,13
217,201800217,21
218,201800218,36
219,201800219,40
220,201800220,22
