target,Country,count
Chulalongkorn University,Thailand,17635
"Faculty of Medicine, Chulalongkorn University",Thailand,2092
King Chulalongkorn Memorial Hospital,Thailand,1700
Mahidol University,Thailand,1080
Universiti Malaya,Malaysia,638
University of Wisconsin-Madison,United States,608
Università degli Studi di Padova,Italy,598
Imperial College London,United Kingdom,586
"University of Maryland, College Park",United States,584
"University of California, Davis",United States,574
Benemerita Universidad Autonoma de Puebla,Mexico,574
Università degli Studi di Milano-Bicocca,Italy,573
University of Seoul,South Korea,570
University of Rochester,United States,566
National Taiwan University,Taiwan,565
University of Minnesota Twin Cities,United States,564
Université Paris-Saclay,France,561
"University of California, San Diego",United States,558
Universität Zürich,Switzerland,557
Charles University,Czech Republic,555
University of Illinois at Chicago,United States,555
The Catholic University of America,United States,553
"University of California, Riverside",United States,553
The Ohio State University,United States,551
Universität Hamburg,Germany,550
University of Florida,United States,549
Centro de Investigacion y de Estudios Avanzados del Instituto Politécnico Nacional,Mexico,548
Universiteit Gent,Belgium,548
"University of California, Los Angeles",United States,546
Universiteit Antwerpen,Belgium,545
University of Bristol,United Kingdom,545
Johns Hopkins University,United States,544
Massachusetts Institute of Technology,United States,544
Seoul National University,South Korea,544
Helsingin Yliopisto,Finland,544
Université Libre de Bruxelles,Belgium,544
National and Kapodistrian University of Athens,Greece,544
Universidad Autónoma de Madrid,Spain,541
University of Virginia,United States,541
Università di Pisa,Italy,540
Purdue University,United States,540
Vrije Universiteit Brussel,Belgium,540
Rheinisch-Westfälische Technische Hochschule Aachen,Germany,539
Università degli Studi di Napoli Federico II,Italy,539
Chonnam National University,South Korea,538
Sungkyunkwan University,South Korea,538
Texas A&amp;M University,United States,538
Università degli Studi di Perugia,Italy,538
Alma Mater Studiorum Università di Bologna,Italy,536
ETH Zürich,Switzerland,536
Università degli Studi di Pavia,Italy,536
Università degli Studi di Firenze,Italy,536
Florida State University,United States,536
"INFN, Laboratori Nazionali Di Frascati",Italy,535
University of Iowa,United States,534
Eötvös Loránd Tudományegyetem,Hungary,534
Institute of High Energy Physics Chinese Academy of Science,China,533
"Universidad de Los Andes, Colombia",Colombia,533
Università degli Studi di Catania,Italy,533
Yerevan Physics Institute,Armenia,533
"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Brazil,532
The University of Auckland,New Zealand,531
Università degli Studi di Torino,Italy,530
Northwestern University,United States,530
University College Dublin,Ireland,530
Universidad San Francisco de Quito,Ecuador,529
Vilniaus Universitetas,Lithuania,529
University of Colorado Boulder,United States,529
Boston University,United States,529
Hanyang University,South Korea,529
Korea University,South Korea,529
Brunel University London,United Kingdom,529
Kyungpook National University,South Korea,528
Princeton University,United States,528
"University of California, Santa Barbara",United States,527
Quaid-i-Azam University,Pakistan,527
Sapienza Università di Roma,Italy,527
"The University of Tennessee, Knoxville",United States,527
Università degli Studi di Trieste,Italy,527
Cornell University,United States,527
Panjab University,India,526
Rice University,United States,526
Sofia University St. Kliment Ohridski,Bulgaria,526
University of Kansas,United States,525
Rutgers University–New Brunswick,United States,525
University of Ioannina,Greece,525
Vanderbilt University,United States,525
The University of Alabama,United States,525
University of Delhi,India,525
University of Nebraska–Lincoln,United States,525
Texas Tech University,United States,524
University of Warsaw,Poland,524
Università degli Studi di Genova,Italy,524
California Institute of Technology,United States,524
Boğaziçi Üniversitesi,Turkey,524
Organisation Européenne pour la Recherche Nucléaire,Switzerland,524
Deutsches Elektronen-Synchrotron (DESY),Germany,524
Kansas State University,United States,523
"University at Buffalo, The State University of New York",United States,523
Université Catholique de Louvain,Belgium,523
University of Cyprus,Cyprus,522
Middle East Technical University (METU),Turkey,522
University of Notre Dame,United States,522
Università degli studi di Bari Aldo Moro,Italy,522
Universidad de Oviedo,Spain,521
Carnegie Mellon University,United States,521
Brown University,United States,521
Wayne State University,United States,521
National Central University,Taiwan,521
Universidade do Estado do Rio de Janeiro,Brazil,521
Northeastern University,United States,521
Saha Institute of Nuclear Physics,India,520
LUT University,Finland,520
Lawrence Livermore National Laboratory,United States,520
Paul Scherrer Institut,Switzerland,520
Lomonosov Moscow State University,Russian Federation,520
Beihang University,China,520
Florida Institute of Technology,United States,519
Centro Brasileiro de Pesquisas Físicas,Brazil,519
İstanbul Teknik Üniversitesi,Turkey,519
