,affiliation,latitude,longitude
0,Stanford University School of Medicine,39.7837304,-100.445882
1,Chulalongkorn University,13.743107349999999,100.53288370292987
2,Bumrungrad International Hospital,13.746742000000001,100.55245695936418
3,Stanford Healthcare,37.4073682,-122.1498969
4,Stanford University,37.431313849999995,-122.16936535498309
5,Johns Hopkins Bloomberg School of Public Health,39.297973549999995,-76.58991738525273
6,Hirosaki University,40.587948850000004,140.47248291204363
7,Thammasat University,18.3173369,99.39960638810255
8,"National Institute of Advanced Industrial Science and Technology, Chubu",36.5748441,139.2394179
9,Synchrotron Light Research Institute (Public Organization),14.8971921,100.83273
10,Academy of Science,-35.283662750000005,149.12310149852618
11,Thailand National Electronics and Computer Technology Center,14.077792500000001,100.60139524408929
12,Colorado State University,40.570656650000004,-105.08539947634978
13,Srinakharinwirot University,13.744861799999999,100.56473490158268
14,King Chulalongkorn Memorial Hospital,13.73288335,100.53532171595043
15,Medical College of Wisconsin,43.04386705,-88.02245316747553
16,Metallurgy and Materials Research Institute Chulalongkorn University,14.8971921,100.83273
17,South China University of Technology,23.160342,113.33724262919063
18,Yanshan University,25.0671259,110.29498078819903
19,Laboratório Interinstitucional de e-Astronomia,-10.3333333,-53.2
20,Lick Observatory,37.3415922,-121.6428763
21,NYU Abu Dhabi,40.73206935,-73.9976431125895
22,Johns Hopkins University Krieger School of Arts and Sciences,39.7837304,-100.445882
23,Universidade Federal de Santa Maria,-29.723206150000003,-53.72040866928833
24,University of Wisconsin-Madison,43.080274450000005,-89.43095871991434
25,The Center for Cosmology and Particle Physics,39.7837304,-100.445882
26,University of Oxford,51.75870755,-1.2556684826092037
27,University of Portsmouth,50.795245,-1.0935528683212405
28,Tsinghua University,40.002290450000004,116.3209629696906
29,The University of Tokyo,35.9019845,139.9362233261796
30,"University of California, Santa Cruz",36.9823252,-122.06001872783034
31,Harvard-Smithsonian Center for Astrophysics,42.381420000000006,-71.12838285655212
32,University of Kentucky,38.026629099999994,-84.50472223981663
33,Apache Point Observatory,32.780298450000004,-105.81990911661293
34,The University of Texas at Austin,30.27715345,-97.73440380486116
35,The Open University,52.02453775,-0.7092748093945007
36,Space Telescope Science Institute,39.3329284,-76.623172
37,Lomonosov Moscow State University,55.701189,37.527634
38,Princeton University,40.33867515,-74.65836549131683
39,CUSAR,42.0640185,47.11864037639306
40,University of Virginia,38.0410576,-78.50550841214823
41,Lunds Universitet,55.71013105,13.213706406311388
42,University of Bristol,51.4905582,-2.6304824978595356
