,Id,Author_amount,Domestic_org_amount,International_org_amount,Ref_amount,Date_sort,Subject_area_code,Subject_area_abbrev
0,201801792,3,3,0,28.0,2018-03-01,2305#,ENVI#
1,201801793,4,4,0,25.0,2018-03-01,3003#2736#,PHAR#MEDI#
2,201801794,12,2,1,33.0,2018-03-01,2808#2728#,NEUR#MEDI#
3,201801795,2,1,0,29.0,2018-03-01,3400#,VETE#
4,201801796,1,1,0,2.0,2018-03-01,3400#,VETE#
5,201801797,4,2,0,12.0,2018-03-01,3400#,VETE#
6,201801798,5,3,0,30.0,2018-03-01,2105#,ENER#
7,201801799,7,3,1,24.0,2018-03-01,3400#,VETE#
8,201801800,10,2,1,27.0,2018-03-01,3400#,VETE#
9,201801801,2,1,0,33.0,2018-03-01,3400#,VETE#
10,201801802,4,1,0,,2018-03-01,3400#,VETE#
11,201801803,4,2,0,26.0,2018-03-01,3400#,VETE#
12,201801804,1,1,0,4.0,2018-03-01,3400#,VETE#
13,201801805,2,1,0,15.0,2018-03-01,2207#2205#2215#1705#,ENGI#ENGI#ENGI#COMP#
14,201801806,9,2,3,30.0,2018-03-01,1303#1312#1311#1306#,BIOC#BIOC#BIOC#BIOC#
15,201801807,4,3,4,121.0,2018-03-01,2201#3101#,ENGI#PHYS#
16,201801808,2228,1,176,56.0,2018-03-01,2201#3101#,ENGI#PHYS#
17,201801809,3,1,2,12.0,2018-03-01,2300#1900#,ENVI#EART#
18,201801810,2239,1,241,77.0,2018-03-01,3106#,PHYS#
19,201801811,11,2,3,60.0,2018-03-01,3003#,PHAR#
20,201801812,5,1,3,30.0,2018-03-01,1103#3400#,AGRI#VETE#
21,201801813,3,1,0,65.0,2018-03-01,1103#3400#,AGRI#VETE#
22,201801814,2279,1,239,63.0,2018-03-01,3106#,PHYS#
23,201801815,2,1,1,50.0,2018-03-01,2900#,NURS#
24,201801816,3,1,0,27.0,2018-03-01,1502#2204#2500#3104#,CENG#ENGI#MATE#PHYS#
25,201801817,5,1,4,5.0,2018-03-01,2808#2728#,NEUR#MEDI#
26,201801818,14,1,11,101.0,2018-03-01,2715#,MEDI#
27,201801819,3,1,0,55.0,2018-03-01,2405#2404#1109#2725#,IMMU#IMMU#AGRI#MEDI#
28,201801820,13,1,5,47.0,2018-03-01,2727#,MEDI#
29,201801821,8,3,1,15.0,2018-03-01,2708#,MEDI#
30,201801822,9,5,0,31.0,2018-03-01,1502#1303#1600#1313#1312#,CENG#BIOC#CHEM#BIOC#BIOC#
31,201801823,2,1,2,31.0,2018-03-01,1105#,AGRI#
32,201801824,4,2,0,37.0,2018-03-01,1500#2507#2209#2505#,CENG#MATE#ENGI#MATE#
33,201801825,3,3,1,10.0,2018-03-01,2724#2712#2721#1310#,MEDI#MEDI#MEDI#BIOC#
34,201801826,5,3,0,19.0,2018-03-01,1503#1600#,CENG#CHEM#
35,201801827,1,1,0,19.0,2018-03-01,2733#3500#,MEDI#DENT#
36,201801828,4,2,1,35.0,2018-03-01,2405#2404#2403#2725#,IMMU#IMMU#IMMU#MEDI#
37,201801829,6,6,0,64.0,2018-03-01,2105#,ENER#
38,201801830,13,2,0,27.0,2018-03-01,3404#3403#1103#3402#,VETE#VETE#AGRI#VETE#
39,201801831,4,1,2,54.0,2018-03-01,2901#,NURS#
40,201801832,2,1,1,37.0,2018-03-01,3305#3303#,SOCI#SOCI#
41,201801833,6,5,1,43.0,2018-03-01,1305#2402#,BIOC#IMMU#
42,201801834,5,3,0,30.0,2018-03-01,2739#,MEDI#
43,201801835,4,1,0,40.0,2018-03-01,1313#,BIOC#
44,201801836,3,2,0,45.0,2018-03-01,2208#,ENGI#
45,201801837,9,1,0,59.0,2018-03-01,3004#2406#,PHAR#IMMU#
46,201801838,2,1,0,40.0,2018-03-01,2305#2105#2312#2311#2310#,ENVI#ENER#ENVI#ENVI#ENVI#
47,201801839,4,1,0,34.0,2018-03-01,1103#3400#,AGRI#VETE#
48,201801840,5,1,1,36.0,2018-03-01,1314#1311#1110#,BIOC#BIOC#AGRI#
49,201801841,3,1,0,29.0,2018-03-01,3505#,DENT#
50,201801842,7,2,1,27.0,2018-03-01,2404#3400#,IMMU#VETE#
51,201801843,3,2,0,26.0,2018-03-01,2726#2725#,MEDI#MEDI#
52,201801844,4,2,2,19.0,2018-03-01,2730#2715#,MEDI#MEDI#
53,201801845,5,1,2,95.0,2018-03-01,1607#1606#1704#2505#,CHEM#CHEM#COMP#MATE#
54,201801846,3,1,1,41.0,2018-03-01,2507#,MATE#
55,201801847,8,1,0,26.0,2018-03-01,2404#3400#,IMMU#VETE#
56,201801848,2,1,0,38.0,2018-03-01,3500#,DENT#
57,201801849,3,1,1,45.0,2018-03-01,1102#1311#1110#,AGRI#BIOC#AGRI#
58,201801850,15,1,9,29.0,2018-03-01,2721#2715#2736#,MEDI#MEDI#MEDI#
59,201801851,3,2,0,27.0,2018-03-01,2304#2310#2307#,ENVI#ENVI#ENVI#
60,201801852,8,3,0,50.0,2018-03-01,3003#,PHAR#
61,201801853,12,3,2,29.0,2018-03-01,2405#2739#2725#,IMMU#MEDI#MEDI#
62,201801854,4,1,1,53.0,2018-03-01,3105#3104#2508#,PHYS#PHYS#MATE#
63,201801855,9,1,1,34.0,2018-03-01,2720#2716#,MEDI#MEDI#
64,201801856,3,2,0,51.0,2018-03-01,2738#2803#,MEDI#NEUR#
65,201801857,2,1,0,41.0,2018-03-01,1404#1712#1802#1702#,BUSI#COMP#DECI#COMP#
66,201801858,5,1,0,35.0,2018-03-01,1602#1106#1304#1502#2402#,CHEM#AGRI#BIOC#CENG#IMMU#
67,201801859,6,1,4,49.0,2018-03-01,2738#2803#,MEDI#NEUR#
68,201801860,2,1,1,,2018-03-01,2403#1309#,IMMU#BIOC#
69,201801861,4,2,0,53.0,2018-03-01,1303#2500#1606#1506#,BIOC#MATE#CHEM#CENG#
70,201801862,6,1,1,34.0,2018-03-01,2103#2102#2101#1603#,ENER#ENER#ENER#CHEM#
71,201801863,4,2,0,60.0,2018-03-01,3404#3403#1103#3402#,VETE#VETE#AGRI#VETE#
72,201801864,2,1,0,18.0,2018-03-01,2602#2612#2608#2607#,MATH#MATH#MATH#MATH#
73,201801865,4,1,3,54.0,2018-03-01,1303#1313#1604#,BIOC#BIOC#CHEM#
74,201801866,3,1,1,37.0,2018-03-01,2500#3104#2211#2210#,MATE#PHYS#ENGI#ENGI#
75,201801867,6,1,7,74.0,2018-03-01,2735#2741#,MEDI#MEDI#
76,201801868,4,2,1,41.0,2018-03-01,1103#,AGRI#
77,201801869,6,1,1,34.0,2018-03-01,1600#1500#2209#,CHEM#CENG#ENGI#
78,201801870,1,1,0,41.0,2018-03-01,2002#,ECON#
79,201801871,5,1,2,116.0,2018-03-01,2404#,IMMU#
80,201801872,4,1,0,56.0,2018-03-01,1600#1500#2209#,CHEM#CENG#ENGI#
81,201801873,2,1,1,51.0,2018-03-01,1909#3311#1907#,EART#SOCI#EART#
82,201801874,3,2,0,,2018-03-01,2746#,MEDI#
83,201801875,2,2,0,9.0,2018-03-01,2602#2604#,MATH#MATH#
84,201801876,3,1,1,56.0,2018-03-01,1909#3311#1907#,EART#SOCI#EART#
85,201801877,5,2,0,37.0,2018-03-01,2735#,MEDI#
86,201801878,2,1,0,28.0,2018-03-01,1909#1706#,EART#COMP#
87,201801879,3,1,1,24.0,2018-03-01,1602#1313#3004#3003#3002#2707#1605#,CHEM#BIOC#PHAR#PHAR#PHAR#MEDI#CHEM#
88,201801880,12,6,0,25.0,2018-03-01,2730#,MEDI#
89,201801881,5,1,1,38.0,2018-03-01,1305#1502#1303#2402#1312#,BIOC#CENG#BIOC#IMMU#BIOC#
90,201801882,9,4,1,30.0,2018-03-01,2726#2725#,MEDI#MEDI#
91,201801883,3,1,2,15.0,2018-03-01,2504#2208#,MATE#ENGI#
92,201801884,8,4,3,42.0,2018-03-01,2405#3400#1109#2725#,IMMU#VETE#AGRI#MEDI#
93,201801885,5,1,2,44.0,2018-03-01,2734#3504#2733#1306#3506#,MEDI#DENT#MEDI#BIOC#DENT#
94,201801886,5,2,2,23.0,2018-03-01,2213#3311#2739#1504#,ENGI#SOCI#MEDI#CENG#
95,201801887,3,1,2,17.0,2018-03-01,1203#3205#3310#,ARTS#PSYC#SOCI#
96,201801888,5,4,0,22.0,2018-03-01,2205#2215#2310#2210#2209#2208#,ENGI#ENGI#ENVI#ENGI#ENGI#ENGI#
97,201801889,6,5,0,36.0,2018-03-01,1600#3104#2507#2505#,CHEM#PHYS#MATE#MATE#
98,201801890,7,2,0,166.0,2018-03-01,2403#1309#,IMMU#BIOC#
99,201801891,4,3,0,18.0,2018-03-01,2733#2728#,MEDI#MEDI#
100,201801892,3,1,0,64.0,2018-03-01,2305#2304#2300#,ENVI#ENVI#ENVI#
101,201801893,7,1,8,65.0,2018-03-01,2808#2804#,NEUR#NEUR#
102,201801894,7,3,0,71.0,2018-02-28,1602#1500#2200#,CHEM#CENG#ENGI#
103,201801895,4,3,0,69.0,2018-02-28,1605#2507#2505#,CHEM#MATE#MATE#
104,201801896,2228,1,240,50.0,2018-02-26,3100#,PHYS#
105,201801897,9,3,0,38.0,2018-02-26,2701#1313#1301#1307#,MEDI#BIOC#BIOC#BIOC#
106,201801898,4,2,1,33.0,2018-02-25,1602#1303#2304#1607#,CHEM#BIOC#ENVI#CHEM#
107,201801899,6,3,0,53.0,2018-02-25,1500#,CENG#
108,201801900,5,1,0,45.0,2018-02-24,1606#1604#2505#,CHEM#CHEM#MATE#
109,201801901,3,1,0,33.0,2018-02-23,2900#,NURS#
110,201801902,3,2,0,35.0,2018-02-23,2900#,NURS#
111,201801903,2265,1,242,38.0,2018-02-22,3100#,PHYS#
