,Subject_area_code,Subject_area_abbrev,Subject_area_name
0,2305,ENVI,Environmental Engineering
1,3003,PHAR,Pharmaceutical Science
2,2736,MEDI,Pharmacology (medical)
3,2808,NEUR,Neurology
4,2728,MEDI,Neurology (clinical)
5,3400,VETE,Veterinary (all)
6,2105,ENER,"Renewable Energy, Sustainability and the Environment"
7,2207,ENGI,Control and Systems Engineering
8,2205,ENGI,Civil and Structural Engineering
9,2215,ENGI,Building and Construction
10,1705,COMP,Computer Networks and Communications
11,1303,BIOC,Biochemistry
12,1312,BIOC,Molecular Biology
13,1311,BIOC,Genetics
14,1306,BIOC,Cancer Research
15,2201,ENGI,Engineering (miscellaneous)
16,3101,PHYS,Physics and Astronomy (miscellaneous)
17,2300,ENVI,Environmental Science (all)
18,1900,EART,Earth and Planetary Sciences (all)
19,3106,PHYS,Nuclear and High Energy Physics
20,1103,AGRI,Animal Science and Zoology
21,2900,NURS,Nursing (all)
22,1502,CENG,Bioengineering
23,2204,ENGI,Biomedical Engineering
24,2500,MATE,Materials Science (all)
25,3104,PHYS,Condensed Matter Physics
26,2715,MEDI,Gastroenterology
27,2405,IMMU,Parasitology
28,2404,IMMU,Microbiology
29,1109,AGRI,Insect Science
30,2725,MEDI,Infectious Diseases
31,2727,MEDI,Nephrology
32,2708,MEDI,Dermatology
33,1600,CHEM,Chemistry (all)
34,1313,BIOC,Molecular Medicine
35,1105,AGRI,"Ecology, Evolution, Behavior and Systematics"
36,1500,CENG,Chemical Engineering (all)
37,2507,MATE,Polymers and Plastics
38,2209,ENGI,Industrial and Manufacturing Engineering
39,2505,MATE,Materials Chemistry
40,2724,MEDI,Internal Medicine
41,2712,MEDI,"Endocrinology, Diabetes and Metabolism"
42,2721,MEDI,Hepatology
43,1310,BIOC,Endocrinology
44,1503,CENG,Catalysis
45,2733,MEDI,Otorhinolaryngology
46,3500,DENT,Dentistry (all)
47,2403,IMMU,Immunology
48,3404,VETE,Small Animals
49,3403,VETE,Food Animals
50,3402,VETE,Equine
51,2901,NURS,Nursing (miscellaneous)
52,3305,SOCI,"Geography, Planning and Development"
53,3303,SOCI,Development
54,1305,BIOC,Biotechnology
55,2402,IMMU,Applied Microbiology and Biotechnology
56,2739,MEDI,"Public Health, Environmental and Occupational Health"
57,2208,ENGI,Electrical and Electronic Engineering
58,3004,PHAR,Pharmacology
59,2406,IMMU,Virology
60,2312,ENVI,Water Science and Technology
61,2311,ENVI,Waste Management and Disposal
62,2310,ENVI,Pollution
63,1314,BIOC,Physiology
64,1110,AGRI,Plant Science
65,3505,DENT,Orthodontics
66,2726,MEDI,Microbiology (medical)
67,2730,MEDI,Oncology
68,1607,CHEM,Spectroscopy
69,1606,CHEM,Physical and Theoretical Chemistry
70,1704,COMP,Computer Graphics and Computer-Aided Design
71,1102,AGRI,Agronomy and Crop Science
72,2304,ENVI,Environmental Chemistry
73,2307,ENVI,"Health, Toxicology and Mutagenesis"
74,3105,PHYS,Instrumentation
75,2508,MATE,"Surfaces, Coatings and Films"
76,2720,MEDI,Hematology
77,2716,MEDI,Genetics (clinical)
78,2738,MEDI,Psychiatry and Mental Health
79,2803,NEUR,Biological Psychiatry
80,1404,BUSI,Management Information Systems
81,1712,COMP,Software
82,1802,DECI,Information Systems and Management
83,1702,COMP,Artificial Intelligence
84,1602,CHEM,Analytical Chemistry
85,1106,AGRI,Food Science
86,1304,BIOC,Biophysics
87,1309,BIOC,Developmental Biology
88,1506,CENG,Filtration and Separation
89,2103,ENER,Fuel Technology
90,2102,ENER,Energy Engineering and Power Technology
91,2101,ENER,Energy (miscellaneous)
92,1603,CHEM,Electrochemistry
93,2602,MATH,Algebra and Number Theory
94,2612,MATH,Numerical Analysis
95,2608,MATH,Geometry and Topology
96,2607,MATH,Discrete Mathematics and Combinatorics
97,1604,CHEM,Inorganic Chemistry
